40800,4018,24033,471,20.0,31.0,40.0,13.0,13.0,14.0
40800,4027,24110,471,20.0,31.0,40.0,13.0,13.0,14.0
40800,4010,23977,471,20.0,31.0,40.0,13.0,13.0,14.0
42900,9276,60480,531,25.0,32.0,40.0,15.0,16.0,15.0
40800,9403,60861,198,29.0,54.0,54.0,17.0,18.0,16.0
40500,11518,70167,1136,31.0,56.0,50.0,21.0,23.0,25.0
40500,11519,70168,1136,31.0,56.0,50.0,21.0,23.0,25.0
41400,7141,42542,1146,39.0,58.0,49.0,27.0,25.0,20.0
41400,4054,24302,1146,39.0,58.0,49.0,27.0,25.0,20.0
39900,3842,22788,200,30.0,45.0,43.0,20.0,23.0,23.0
39900,3842,22788,200,30.0,45.0,43.0,20.0,23.0,23.0
42900,7338,44294,783,50.0,63.0,42.0,41.0,43.0,30.0
42000,7232,43355,695,54.0,66.0,42.0,43.0,45.0,51.0
41100,7102,42145,413,35.0,61.0,42.0,33.0,33.0,32.0
41100,3267,20520,1215,35.0,53.0,48.0,24.0,23.0,25.0
42000,7222,43263,434,26.0,33.0,40.0,16.0,15.0,14.0
42300,7291,43879,135,22.0,31.0,40.0,14.0,15.0,15.0
42600,10995,67659,1244,40.0,57.0,49.0,25.0,25.0,25.0
42600,4118,24772,1244,40.0,57.0,49.0,25.0,25.0,25.0
42000,7218,43229,962,33.0,47.0,56.0,21.0,21.0,21.0
42000,7221,43252,962,33.0,47.0,56.0,21.0,21.0,21.0
42000,7221,43262,593,34.0,56.0,42.0,22.0,23.0,23.0
40800,4018,24032,868,39.0,54.0,40.0,30.0,32.0,32.0
41400,11524,70206,306,34.0,50.0,41.0,23.0,22.0,22.0
41400,4054,24302,310,39.0,54.0,41.0,26.0,27.0,27.0
41100,7115,42282,567,27.0,52.0,58.0,18.0,17.0,19.0
40500,11518,70167,365,27.0,62.0,40.0,19.0,22.0,24.0
40500,11519,70168,727,36.0,60.0,58.0,25.0,27.0,28.0
40200,11515,70155,731,37.0,55.0,95.0,25.0,26.0,27.0
41100,3693,22203,310,33.0,53.0,41.0,27.0,27.0,28.0
41100,3267,20520,926,31.0,54.0,40.0,27.0,25.0,23.0
40800,4018,24032,567,26.0,52.0,58.0,16.0,17.0,19.0
42000,7239,43414,1251,40.0,61.0,48.0,26.0,26.0,18.0
41100,7116,42283,268,36.0,57.0,42.0,32.0,28.0,25.0
40500,1879,10390,657,31.0,58.0,57.0,22.0,24.0,26.0
41400,7148,42589,413,40.0,60.0,42.0,33.0,33.0,32.0
39900,3842,22788,754,31.0,49.0,41.0,20.0,22.0,21.0
39900,6968,41163,754,31.0,49.0,41.0,20.0,22.0,21.0
40500,6970,41169,493,18.0,21.0,39.0,11.0,13.0,15.0
41700,7184,42945,1237,32.0,58.0,49.0,22.0,21.0,22.0
41700,6226,37564,1175,36.0,62.0,48.0,23.0,23.0,20.0
39900,3841,22785,1044,38.0,57.0,62.0,29.0,31.0,31.0
41100,3693,22204,155,34.0,67.0,40.0,21.0,21.0,23.0
41700,4077,24465,189,40.0,62.0,40.0,27.0,27.0,27.0
41700,11533,70275,189,40.0,62.0,40.0,27.0,27.0,27.0
42000,7239,43429,378,43.0,67.0,40.0,29.0,29.0,20.0
40800,9403,60861,233,33.0,46.0,42.0,21.0,22.0,25.0
40500,11518,70166,607,27.0,46.0,43.0,18.0,20.0,21.0
40200,11515,70155,654,37.0,60.0,42.0,25.0,27.0,28.0
41400,4067,24401,1312,39.0,57.0,48.0,28.0,26.0,26.0
42300,7291,43879,509,25.0,34.0,40.0,15.0,16.0,15.0
40200,5093,31926,510,22.0,29.0,40.0,13.0,14.0,15.0
41400,7148,42589,526,24.0,31.0,40.0,15.0,14.0,14.0
42000,7218,43229,268,42.0,60.0,42.0,33.0,33.0,30.0
41400,7148,42589,625,30.0,48.0,42.0,21.0,19.0,19.0
39600,3970,23679,1162,49.0,68.0,49.0,36.0,36.0,33.0
39900,3841,22785,92,53.0,56.0,41.0,80.0,68.0,59.0
40500,11519,70168,1188,34.0,59.0,48.0,22.0,22.0,15.0
39600,3970,23679,489,29.0,37.0,39.0,19.0,20.0,17.0
41400,4054,24302,1062,40.0,54.0,55.0,32.0,31.0,27.0
42600,7336,44272,1237,39.0,54.0,48.0,26.0,24.0,22.0
42900,7338,44304,497,27.0,34.0,40.0,17.0,17.0,15.0
40800,4027,24106,510,19.0,34.0,40.0,11.0,12.0,14.0
40800,11937,73300,510,19.0,34.0,40.0,11.0,12.0,14.0
39900,3841,22785,532,21.0,34.0,40.0,13.0,16.0,16.0
41700,7176,42875,615,50.0,67.0,59.0,43.0,43.0,39.0
41100,7102,42145,624,30.0,52.0,59.0,20.0,20.0,21.0
41100,7101,42134,650,45.0,55.0,42.0,32.0,32.0,34.0
42600,6544,39247,912,41.0,54.0,41.0,27.0,24.0,23.0
40200,712,3581,1187,34.0,62.0,48.0,22.0,25.0,25.0
41700,7184,42945,1254,33.0,58.0,48.0,22.0,22.0,22.0
41700,7184,42945,785,42.0,55.0,60.0,39.0,36.0,29.0
39900,1379,7940,803,39.0,61.0,42.0,26.0,29.0,28.0
42000,7232,43355,727,43.0,63.0,58.0,27.0,27.0,27.0
42000,7239,43414,727,43.0,63.0,58.0,27.0,27.0,27.0
42000,4083,24510,727,43.0,63.0,58.0,27.0,27.0,27.0
40500,1879,10388,72,29.0,51.0,41.0,24.0,20.0,10.0
41400,4067,24401,276,31.0,51.0,41.0,21.0,22.0,22.0
42000,7222,43263,868,39.0,50.0,40.0,32.0,30.0,31.0
42600,4118,24772,306,40.0,56.0,41.0,25.0,24.0,23.0
42600,10995,67659,310,45.0,53.0,41.0,35.0,28.0,28.0
42600,4132,24888,310,45.0,53.0,41.0,35.0,28.0,28.0
41700,4078,24472,1053,35.0,55.0,62.0,23.0,23.0,24.0
41700,7185,42956,365,32.0,58.0,40.0,21.0,22.0,22.0
41700,7176,42875,413,42.0,64.0,42.0,36.0,35.0,33.0
41700,6226,37567,1215,40.0,57.0,48.0,29.0,28.0,27.0
39900,1382,7960,1188,40.0,68.0,48.0,26.0,16.0,7.0
40800,4018,24033,493,20.0,25.0,39.0,12.0,12.0,14.0
40500,1879,10389,374,35.0,63.0,40.0,22.0,25.0,28.0
40800,9403,60861,1062,36.0,54.0,55.0,28.0,23.0,22.0
42000,7220,43251,1237,33.0,59.0,49.0,22.0,22.0,22.0
41700,7184,42945,728,45.0,65.0,41.0,30.0,29.0,29.0
41700,7184,42934,71,38.0,55.0,43.0,25.0,24.0,23.0
42900,7343,44359,946,37.0,56.0,41.0,25.0,24.0,19.0
42900,7343,44349,946,37.0,56.0,41.0,25.0,24.0,19.0
40500,11519,70168,691,27.0,55.0,42.0,19.0,20.0,22.0
39900,12354,75956,708,37.0,63.0,42.0,25.0,29.0,28.0
42300,7291,43879,43,39.0,62.0,41.0,30.0,29.0,28.0
41100,3693,22203,283,29.0,50.0,41.0,19.0,19.0,20.0
40500,3990,23815,137,22.0,27.0,40.0,14.0,15.0,12.0
42000,7232,43355,175,41.0,65.0,40.0,28.0,28.0,27.0
40200,11515,70155,209,38.0,55.0,42.0,26.0,29.0,30.0
42900,370,1903,778,41.0,53.0,42.0,27.0,26.0,26.0
