42600,664,40.0,63.0,42.0,27.0,24.0,23.0
40500,695,53.0,66.0,42.0,69.0,75.0,76.0
39600,413,54.0,67.0,42.0,37.0,35.0,30.0
42600,1,42.0,61.0,41.0,28.0,26.0,24.0
41700,84,37.0,57.0,58.0,26.0,27.0,23.0
42300,901,48.0,49.0,42.0,41.0,44.0,52.0
42900,929,38.0,45.0,42.0,25.0,23.0,22.0
39600,1215,49.0,64.0,48.0,35.0,35.0,31.0
40500,434,17.0,28.0,40.0,11.0,12.0,14.0
41700,438,26.0,32.0,40.0,17.0,15.0,13.0
41700,439,23.0,26.0,36.0,14.0,13.0,13.0
42600,471,27.0,35.0,40.0,17.0,16.0,15.0
41400,530,26.0,29.0,40.0,17.0,15.0,15.0
40800,135,22.0,32.0,40.0,14.0,14.0,16.0
42600,555,36.0,63.0,39.0,25.0,25.0,25.0
42600,198,38.0,53.0,54.0,23.0,23.0,21.0
42300,1136,35.0,59.0,49.0,24.0,24.0,23.0
39900,1237,34.0,60.0,49.0,24.0,25.0,24.0
41100,1244,31.0,56.0,49.0,20.0,21.0,23.0
42300,235,35.0,46.0,43.0,24.0,24.0,23.0
40200,773,32.0,51.0,42.0,20.0,22.0,23.0
42300,594,33.0,52.0,42.0,23.0,24.0,24.0
39900,807,44.0,66.0,41.0,30.0,33.0,33.0
39900,809,54.0,64.0,60.0,40.0,43.0,40.0
42300,662,37.0,65.0,42.0,24.0,25.0,25.0
41400,1165,31.0,52.0,48.0,20.0,18.0,18.0
42300,888,45.0,57.0,41.0,40.0,38.0,36.0
42900,904,47.0,50.0,58.0,41.0,43.0,45.0
42300,974,37.0,54.0,55.0,26.0,26.0,26.0
41100,943,12.0,33.0,28.0,10.0,11.0,10.0
39900,1039,25.0,31.0,83.0,17.0,20.0,19.0
40200,468,19.0,31.0,39.0,11.0,13.0,15.0
39900,488,26.0,32.0,39.0,17.0,19.0,18.0
41100,528,18.0,30.0,39.0,10.0,11.0,12.0
40500,133,17.0,28.0,40.0,11.0,13.0,15.0
42300,556,18.0,39.0,28.0,18.0,19.0,21.0
40800,163,40.0,69.0,40.0,29.0,30.0,32.0
41700,353,37.0,67.0,39.0,25.0,24.0,24.0
41700,361,45.0,71.0,39.0,32.0,31.0,31.0
42300,1234,35.0,60.0,48.0,23.0,24.0,24.0
41100,219,28.0,58.0,62.0,19.0,18.0,20.0
40800,229,31.0,53.0,42.0,20.0,20.0,23.0
39600,1084,44.0,52.0,64.0,30.0,31.0,27.0
41400,1287,31.0,48.0,48.0,19.0,18.0,13.0
39600,589,36.0,52.0,42.0,24.0,26.0,22.0
39600,789,45.0,60.0,42.0,32.0,31.0,26.0
42900,697,40.0,55.0,41.0,33.0,35.0,38.0
41400,417,37.0,52.0,42.0,23.0,21.0,21.0
41700,25,47.0,61.0,42.0,34.0,34.0,33.0
40800,85,30.0,50.0,41.0,20.0,19.0,13.0
40800,843,31.0,50.0,56.0,20.0,20.0,21.0
42900,860,43.0,58.0,76.0,32.0,34.0,34.0
39900,125,62.0,62.0,41.0,87.0,76.0,59.0
42900,1065,33.0,53.0,63.0,24.0,23.0,20.0
40200,1015,47.0,60.0,63.0,66.0,64.0,59.0
41400,1024,26.0,51.0,67.0,22.0,21.0,20.0
41400,1070,30.0,52.0,62.0,19.0,18.0,18.0
41400,1005,31.0,50.0,62.0,20.0,19.0,12.0
42600,331,40.0,67.0,40.0,27.0,27.0,27.0
42000,184,41.0,65.0,39.0,27.0,27.0,25.0
41100,1075,5.0,14.0,60.0,4.0,4.0,4.0
40500,250,32.0,60.0,42.0,24.0,25.0,27.0
42300,630,33.0,58.0,82.0,22.0,22.0,22.0
41700,703,49.0,63.0,42.0,37.0,20.0,14.0
40800,1272,39.0,60.0,48.0,28.0,28.0,24.0
40200,750,34.0,56.0,41.0,23.0,25.0,27.0
42300,9,34.0,48.0,42.0,26.0,23.0,22.0
41700,51,45.0,58.0,42.0,31.0,32.0,32.0
40800,106,29.0,51.0,41.0,19.0,19.0,21.0
42300,902,46.0,40.0,65.0,40.0,41.0,47.0
42000,124,42.0,46.0,41.0,53.0,75.0,87.0
40200,318,27.0,48.0,65.0,17.0,19.0,15.0
39600,1205,38.0,53.0,49.0,28.0,30.0,26.0
42300,1227,37.0,59.0,49.0,25.0,25.0,25.0
40800,988,31.0,55.0,62.0,20.0,19.0,21.0
42900,423,27.0,32.0,39.0,17.0,16.0,15.0
40500,447,19.0,33.0,40.0,12.0,12.0,14.0
40200,485,22.0,30.0,40.0,14.0,15.0,16.0
42000,544,24.0,33.0,40.0,15.0,15.0,15.0
42600,326,40.0,67.0,40.0,29.0,28.0,27.0
42600,380,42.0,60.0,58.0,27.0,28.0,27.0
42000,1246,34.0,52.0,48.0,22.0,22.0,19.0
41400,769,39.0,53.0,42.0,40.0,38.0,29.0
41400,592,29.0,53.0,42.0,20.0,19.0,19.0
40800,656,36.0,57.0,56.0,25.0,24.0,28.0
