42900,7341,44337,1300,41.0,66.0,48.0,28.0,29.0,28.0,42855,42992
40800,4010,23977,1063,27.0,52.0,63.0,19.0,18.0,20.0,40714,40959
40200,11515,70155,326,36.0,69.0,40.0,25.0,26.0,27.0,40190,40202
42000,7222,43263,1260,41.0,63.0,49.0,28.0,28.0,27.0,41966,42036
40800,9403,60861,664,31.0,57.0,42.0,20.0,20.0,22.0,40712,40864
42000,7222,43263,681,45.0,65.0,42.0,44.0,50.0,45.0,41966,42036
40800,4018,24033,1,30.0,57.0,41.0,20.0,20.0,22.0,40784,40822
41400,7148,42589,67,31.0,39.0,57.0,19.0,17.0,17.0,41358,41406
42900,7343,44349,1178,37.0,48.0,48.0,26.0,25.0,24.0,42884,42917
42900,7338,44304,1034,28.0,35.0,60.0,17.0,17.0,16.0,42816,43031
42900,7343,44349,1034,28.0,35.0,60.0,17.0,17.0,16.0,42884,42911
40800,4018,24033,471,20.0,31.0,40.0,13.0,13.0,14.0,40784,40849
40800,4027,24110,471,20.0,31.0,40.0,13.0,13.0,14.0,40789,40814
40800,4010,23977,471,20.0,31.0,40.0,13.0,13.0,14.0,40714,40959
42900,9276,60480,531,25.0,32.0,40.0,15.0,16.0,15.0,42877,42915
40800,9403,60861,198,29.0,54.0,54.0,17.0,18.0,16.0,40712,40862
40500,11518,70167,1136,31.0,56.0,50.0,21.0,23.0,25.0,40379,40509
40500,11519,70168,1136,31.0,56.0,50.0,21.0,23.0,25.0,40448,40560
41400,7141,42542,1146,39.0,58.0,49.0,27.0,25.0,20.0,41308,41441
41400,4054,24302,1146,39.0,58.0,49.0,27.0,25.0,20.0,41296,41460
39900,3842,22788,200,30.0,45.0,43.0,20.0,23.0,23.0,39879,39968
39900,3842,22788,200,30.0,45.0,43.0,20.0,23.0,23.0,39879,39968
42900,7338,44294,783,50.0,63.0,42.0,41.0,43.0,30.0,42817,42906
42000,7232,43355,695,54.0,66.0,42.0,43.0,45.0,51.0,41979,42045
41100,7102,42145,413,35.0,61.0,42.0,33.0,33.0,32.0,41043,41191
41100,3267,20520,1215,35.0,53.0,48.0,24.0,23.0,25.0,41050,41143
42000,7222,43263,434,26.0,33.0,40.0,16.0,15.0,14.0,41966,42018
42300,7291,43879,135,22.0,31.0,40.0,14.0,15.0,15.0,42283,42310
42600,10995,67659,1244,40.0,57.0,49.0,25.0,25.0,25.0,42498,42723
42600,4118,24772,1244,40.0,57.0,49.0,25.0,25.0,25.0,42444,42604
42000,7218,43229,962,33.0,47.0,56.0,21.0,21.0,21.0,41880,42039
42000,7221,43252,962,33.0,47.0,56.0,21.0,21.0,21.0,41967,42010
42000,7221,43262,593,34.0,56.0,42.0,22.0,23.0,23.0,41966,42060
40800,4018,24032,868,39.0,54.0,40.0,30.0,32.0,32.0,40784,40828
41400,11524,70206,306,34.0,50.0,41.0,23.0,22.0,22.0,41274,41417
41400,4054,24302,310,39.0,54.0,41.0,26.0,27.0,27.0,41296,41475
41100,7115,42282,567,27.0,52.0,58.0,18.0,17.0,19.0,41096,41222
40500,11518,70167,365,27.0,62.0,40.0,19.0,22.0,24.0,40379,40506
40500,11519,70168,727,36.0,60.0,58.0,25.0,27.0,28.0,40448,40558
40200,11515,70155,731,37.0,55.0,95.0,25.0,26.0,27.0,40190,40202
41100,3693,22203,310,33.0,53.0,41.0,27.0,27.0,28.0,41087,41177
41100,3267,20520,926,31.0,54.0,40.0,27.0,25.0,23.0,41050,41142
40800,4018,24032,567,26.0,52.0,58.0,16.0,17.0,19.0,40784,40813
42000,7239,43414,1251,40.0,61.0,48.0,26.0,26.0,18.0,41980,42228
41100,7116,42283,268,36.0,57.0,42.0,32.0,28.0,25.0,41096,41153
40500,1879,10390,657,31.0,58.0,57.0,22.0,24.0,26.0,40330,40514
41400,7148,42589,413,40.0,60.0,42.0,33.0,33.0,32.0,41358,41419
39900,3842,22788,754,31.0,49.0,41.0,20.0,22.0,21.0,39879,39969
39900,6968,41163,754,31.0,49.0,41.0,20.0,22.0,21.0,39832,39925
40500,6970,41169,493,18.0,21.0,39.0,11.0,13.0,15.0,40469,40515
41700,7184,42945,1237,32.0,58.0,49.0,22.0,21.0,22.0,41569,41832
41700,6226,37564,1175,36.0,62.0,48.0,23.0,23.0,20.0,41647,41844
39900,3841,22785,1044,38.0,57.0,62.0,29.0,31.0,31.0,39850,39926
41100,3693,22204,155,34.0,67.0,40.0,21.0,21.0,23.0,41087,41180
41700,4077,24465,189,40.0,62.0,40.0,27.0,27.0,27.0,41577,41735
41700,11533,70275,189,40.0,62.0,40.0,27.0,27.0,27.0,41651,41832
42000,7239,43429,378,43.0,67.0,40.0,29.0,29.0,20.0,41980,42386
40800,9403,60861,233,33.0,46.0,42.0,21.0,22.0,25.0,40712,40853
40500,11518,70166,607,27.0,46.0,43.0,18.0,20.0,21.0,40379,40505
40200,11515,70155,654,37.0,60.0,42.0,25.0,27.0,28.0,40190,40203
41400,4067,24401,1312,39.0,57.0,48.0,28.0,26.0,26.0,41341,41495
42300,7291,43879,509,25.0,34.0,40.0,15.0,16.0,15.0,42283,42309
40200,5093,31926,510,22.0,29.0,40.0,13.0,14.0,15.0,40195,40237
41400,7148,42589,526,24.0,31.0,40.0,15.0,14.0,14.0,41358,41403
42000,7218,43229,268,42.0,60.0,42.0,33.0,33.0,30.0,41880,42054
41400,7148,42589,625,30.0,48.0,42.0,21.0,19.0,19.0,41358,41407
39600,3970,23679,1162,49.0,68.0,49.0,36.0,36.0,33.0,39486,39657
